id,name,created_at,updated_at
1,"Walk In","2026-03-04 17:40:18","2026-03-04 17:41:09"
2,"Pantry Walk In","2026-03-04 17:41:18","2026-03-04 17:41:18"
3,Pantry,"2026-03-04 17:41:22","2026-03-04 17:41:22"
4,"Dry Storage","2026-03-04 17:41:25","2026-03-04 17:41:25"
5,"Supplies - Back Area","2026-03-04 17:41:33","2026-03-04 17:41:33"
6,"2277 Bar Cage","2026-03-04 17:41:38","2026-03-04 17:41:38"
7,"SOH Bar Cage","2026-03-04 17:41:42","2026-03-04 17:41:42"
8,"SOH Bars","2026-03-04 17:41:45","2026-03-04 17:41:45"
9,Freezer,"2026-03-04 17:42:04","2026-03-04 17:42:04"
10,General,"2026-03-04 17:51:50","2026-03-04 17:51:50"
11,Bakery,"2026-03-04 18:03:04","2026-03-04 18:03:04"
12,"Dry Storage - Flatware & China","2026-03-04 18:15:52","2026-03-04 18:15:52"
13,"Snack Bar","2026-03-04 18:17:35","2026-03-04 18:17:35"
14,"Dry Storage - Kitchen Supplies","2026-03-04 18:18:55","2026-03-04 18:18:55"
15,"2277 Bar Cage - Glassware","2026-03-04 18:22:08","2026-03-04 18:22:08"
16,Equipment,"2026-03-04 18:31:31","2026-03-04 18:31:31"
17,Unicold,"2026-03-04 18:31:59","2026-03-04 18:31:59"
18,Linen,"2026-03-04 18:33:17","2026-03-04 18:33:17"
