id,item_id,type,quantity,reason,notes,created_at,from_area_id,to_area_id,estimated_cost,vendor_price_id
1,165,out,1.0,Adjustment,"Cycle count adjustment","2026-03-04 23:13:54",,,,
2,317,out,1.0,Adjustment,"Cycle count adjustment","2026-03-04 23:14:21",,,,
3,318,out,1.0,Adjustment,"Cycle count adjustment","2026-03-04 23:15:24",,,,
4,402,in,11.0,Adjustment,"Cycle count adjustment","2026-03-04 23:16:04",,,,
5,34,out,1.0,Adjustment,"Cycle count adjustment","2026-03-04 23:16:36",,,,
6,315,out,2.0,Adjustment,"Cycle count adjustment","2026-03-04 23:17:15",,,,
7,452,out,1.0,Adjustment,"Cycle count adjustment","2026-03-04 23:19:52",,,,
8,128,out,11.0,Adjustment,"Cycle count adjustment","2026-03-04 23:20:42",,,,
9,282,out,5.0,Adjustment,"Cycle count adjustment","2026-03-04 23:22:37",,,,
10,323,out,9.0,Adjustment,"Cycle count adjustment","2026-03-04 23:24:21",,,,
11,132,out,4.0,Adjustment,"Cycle count adjustment","2026-03-04 23:25:22",,,,
12,413,in,2.9,Adjustment,"Cycle count adjustment","2026-03-05 02:22:34",,,,
13,490,in,18.0,Adjustment,"Cycle count adjustment","2026-03-05 02:31:28",,,,
14,95,out,3.0,Adjustment,"Cycle count adjustment","2026-03-05 03:00:13",,,,
15,264,in,4.0,Adjustment,"Cycle count adjustment","2026-03-05 03:08:21",,,,
16,193,out,1246.0,Adjustment,"Cycle count adjustment","2026-03-05 03:24:21",,,,
