id,name,notes,created_at,updated_at
1,Sysco,,"2026-03-04 21:18:28","2026-03-04 21:18:28"
2,Y.Hata,,"2026-03-04 21:18:35","2026-03-04 21:18:35"
3,Costco,,"2026-03-04 21:18:42","2026-03-04 21:18:42"
4,"Elvin's",,"2026-03-04 21:18:50","2026-03-04 21:18:50"
5,Soleil,,"2026-03-04 21:19:02","2026-03-04 21:19:02"
6,Armstrong,,"2026-03-04 21:19:14","2026-03-04 21:19:14"
7,D.Otani,,"2026-03-04 21:19:23","2026-03-04 21:19:23"
8,Y.Fukunaga,,"2026-03-04 21:19:38","2026-03-04 21:19:38"
9,"Bella Rossa",,"2026-03-04 21:19:48","2026-03-04 21:19:48"
10,"Gate's",,"2026-03-04 21:20:00","2026-03-04 21:20:00"
11,Hansen,,"2026-03-04 21:20:13","2026-03-04 21:20:13"
12,"Hawaii Candlelight",,"2026-03-04 21:20:32","2026-03-04 21:20:32"
13,"Ecans Orchid Lei Company",,"2026-03-04 21:20:59","2026-03-04 21:20:59"
14,Quantum,,"2026-03-04 21:21:06","2026-03-04 21:21:06"
15,"50th State Poultry",,"2026-03-04 21:21:22","2026-03-04 21:21:22"
16,Rimfire,,"2026-03-04 21:21:32","2026-03-04 21:21:32"
17,JFC,,"2026-03-04 21:21:40","2026-03-04 21:21:40"
18,"Triple FFF",,"2026-03-04 21:21:53","2026-03-04 21:21:53"
19,BevTech,,"2026-03-04 21:45:57","2026-03-04 21:45:57"
20,Odom,,"2026-03-04 21:47:24","2026-03-04 21:47:24"
21,"Aloha Tofu",,"2026-03-05 21:46:52","2026-03-05 21:46:52"
22,"Southern Glazers",,"2026-03-05 21:47:36","2026-03-05 21:47:36"
