id,name,created_at,updated_at,sort_order,show_in_menus
1,"Bar - SOH","2026-03-04 20:33:39","2026-03-06 01:22:21",7,0
2,"Paradise Kitchen","2026-03-04 20:33:50","2026-03-06 01:22:23",8,0
3,RAH,"2026-03-04 20:34:42","2026-03-06 01:22:28",10,0
4,"3-STAR (3SD)","2026-03-04 20:34:55","2026-03-06 01:19:14",1,1
5,"Pacific Star Buffet (PSD)","2026-03-04 20:35:04","2026-03-06 01:19:14",2,1
6,"Nova 5-STAR (5SD)","2026-03-04 20:35:15","2026-03-06 01:19:14",0,1
7,"Paradise Kitchen - Equipment","2026-03-05 03:25:54","2026-03-06 01:22:26",9,0
8,"Green Room (LGRN)","2026-03-06 01:09:24","2026-03-06 01:19:14",3,1
9,"VIP WAIKIKI LUAU (VIPL)","2026-03-06 01:09:47","2026-03-06 01:19:14",4,1
10,"ORIGINAL WAIKIKI LUAU (LUAU)","2026-03-06 01:10:33","2026-03-06 01:19:14",5,1
11,"WAIKIKI LUAU BUFFET (WKLU)","2026-03-06 01:10:56","2026-03-06 01:19:14",6,1
